"","X","Region","V1","V2","V3","End","Interval"
"1",698814,1,"chr22","16285658_16285952_AluSg7_SINE",83,16285952,2
"2",698828,1,"chr22","16490246_16490550_AluSg_SINE",81,16490550,2
"3",698830,1,"chr22","16646028_16646321_AluY_SINE",83,16646321,3
"4",698834,1,"chr22","16693087_16693385_AluY_SINE",82,16693385,3
"5",698835,1,"chr22","16875267_16875556_AluSx_SINE",79,16875556,3
"6",698847,1,"chr22","16917906_16918186_AluSq2_SINE",81,16918186,3
"7",698848,1,"chr22","16920446_16920745_AluSz_SINE",81,16920745,3
"8",698860,1,"chr22","17032842_17033147_AluY_SINE",82,17033147,3
"9",698862,1,"chr22","17034647_17034953_AluSx_SINE",81,17034953,3
"10",698865,1,"chr22","17038961_17039129_AluSx_SINE",81,17039129,3
"11",698890,1,"chr22","17078273_17078582_AluSx4_SINE",81,17078582,3
"12",698892,1,"chr22","17079279_17079580_AluY_SINE",82,17079580,3
"13",698901,1,"chr22","17137729_17138021_AluY_SINE",79,17138021,4
"14",698904,1,"chr22","17153322_17153620_AluSx_SINE",87,17153620,4
"15",698905,1,"chr22","17205295_17205586_AluSp_SINE",82,17205586,4
"16",698908,1,"chr22","17234879_17235165_AluSx1_SINE",83,17235165,4
"17",698910,1,"chr22","17237369_17237657_AluSq2_SINE",82,17237657,4
"18",698916,1,"chr22","17283377_17283676_AluSc_SINE",81,17283676,4
"19",698920,1,"chr22","17293285_17293569_AluSg_SINE",81,17293569,4
"20",698931,1,"chr22","17322829_17323124_AluY_SINE",84,17323124,4
"21",698944,1,"chr22","17497614_17497895_AluY_SINE",85,17497895,4
"22",698945,1,"chr22","17518703_17519008_AluSx1_SINE",87,17519008,4
"23",698962,1,"chr22","17546763_17547065_AluSq2_SINE",77,17547065,4
"24",698964,1,"chr22","17548439_17548731_AluSz_SINE",81,17548731,4
"25",698965,1,"chr22","17552069_17552369_AluSx1_SINE",81,17552369,4
"26",698968,1,"chr22","17555247_17555538_AluSx3_SINE",81,17555538,4
"27",698969,1,"chr22","17556050_17556340_AluSx_SINE",81,17556340,4
"28",698978,1,"chr22","17569375_17569677_AluSx4_SINE",83,17569677,4
"29",698981,1,"chr22","17570916_17571201_AluSx3_SINE",81,17571201,4
"30",698982,1,"chr22","17572284_17572579_AluY_SINE",84,17572579,4
"31",698983,1,"chr22","17577479_17577777_AluY_SINE",82,17577777,4
"32",698985,1,"chr22","17591105_17591408_AluSz_SINE",81,17591408,4
"33",698989,1,"chr22","17606353_17606658_AluSp_SINE",80,17606658,4
"34",698991,1,"chr22","17608601_17608916_AluSc8_SINE",81,17608916,4
"35",698994,1,"chr22","17612003_17612312_AluY_SINE",87,17612312,4
"36",698999,1,"chr22","17617287_17617599_AluSx1_SINE",85,17617599,4
"37",699002,1,"chr22","17625303_17625601_AluSx1_SINE",81,17625601,4
"38",699004,1,"chr22","17636121_17636434_AluSx3_SINE",82,17636434,5
"39",699009,1,"chr22","17641258_17641550_AluSg4_SINE",82,17641550,5
"40",699010,1,"chr22","17641863_17642165_AluSx_SINE",73,17642165,5
"41",699015,1,"chr22","17649251_17649549_AluSx1_SINE",72,17649549,5
"42",699019,1,"chr22","17654902_17655212_AluSx1_SINE",82,17655212,5
"43",699022,1,"chr22","17657076_17657386_AluSp_SINE",80,17657386,5
"44",699028,1,"chr22","17663988_17664272_AluSc_SINE",82,17664272,5
"45",699032,1,"chr22","17666020_17666348_AluY_SINE",86,17666348,5
"46",699038,1,"chr22","17669487_17669757_AluY_SINE",82,17669757,5
"47",699043,1,"chr22","17676642_17676935_AluSx3_SINE",82,17676935,5
"48",699054,1,"chr22","17685903_17686209_AluSx1_SINE",83,17686209,5
"49",699059,1,"chr22","17689410_17689722_AluSx_SINE",81,17689722,5
"50",699065,1,"chr22","17693219_17693463_AluSx_SINE",83,17693463,5
"51",699075,1,"chr22","17706725_17707016_AluSx4_SINE",81,17707016,5
"52",699079,1,"chr22","17708263_17708563_AluY_SINE",82,17708563,5
"53",699080,1,"chr22","17708597_17708905_AluSx3_SINE",82,17708905,5
"54",699081,1,"chr22","17711795_17712101_AluSg7_SINE",82,17712101,5
"55",699084,1,"chr22","17717445_17717743_AluSp_SINE",80,17717743,5
"56",699085,1,"chr22","17718942_17719246_AluSg_SINE",81,17719246,5
"57",699089,1,"chr22","17725284_17725578_AluY_SINE",82,17725578,5
"58",699093,1,"chr22","17727790_17728101_AluY_SINE",83,17728101,5
"59",699094,1,"chr22","17728134_17728427_AluSx_SINE",81,17728427,5
"60",699104,1,"chr22","17735236_17735509_AluSg4_SINE",82,17735509,5
"61",699107,1,"chr22","17736043_17736339_AluSx_SINE",81,17736339,5
"62",699110,1,"chr22","17740225_17740537_AluSx1_SINE",81,17740537,5
"63",699112,1,"chr22","17742607_17742904_AluSq2_SINE",81,17742904,5
"64",699124,1,"chr22","17755978_17756279_AluSc_SINE",81,17756279,5
"65",699127,1,"chr22","17757018_17757313_AluSz_SINE",81,17757313,5
"66",699141,1,"chr22","17772343_17772639_AluSq2_SINE",81,17772639,5
"67",699142,1,"chr22","17772740_17773053_AluSc_SINE",81,17773053,5
"68",699143,1,"chr22","17773056_17773353_AluY_SINE",82,17773353,5
"69",699144,1,"chr22","17777419_17777724_AluSx1_SINE",84,17777724,5
"70",699151,1,"chr22","17788023_17788326_AluSx1_SINE",81,17788326,5
"71",699153,1,"chr22","17791159_17791447_AluSc_SINE",83,17791447,5
"72",699155,1,"chr22","17792045_17792348_AluSp_SINE",80,17792348,5
"73",699156,1,"chr22","17794763_17795079_AluSp_SINE",82,17795079,5
"74",699158,1,"chr22","17798456_17798742_AluSq2_SINE",73,17798742,5
"75",699159,1,"chr22","17799011_17799318_AluY_SINE",82,17799318,5
"76",699171,1,"chr22","17811417_17811679_AluY_SINE",82,17811679,5
"77",699174,1,"chr22","17813781_17814047_AluSx1_SINE",81,17814047,5
"78",699182,1,"chr22","17824041_17824321_AluSg4_SINE",65,17824321,5
"79",699187,1,"chr22","17826909_17827199_AluSg_SINE",81,17827199,5
"80",699190,1,"chr22","17830881_17831181_AluSq2_SINE",82,17831181,5
"81",699192,1,"chr22","17832720_17833014_AluSz_SINE",80,17833014,5
"82",699194,1,"chr22","17834338_17834633_AluY_SINE",82,17834633,5
"83",699196,1,"chr22","17836003_17836302_AluSq2_SINE",81,17836302,5
"84",699199,1,"chr22","17837100_17837396_AluSz6_SINE",83,17837396,5
"85",699203,1,"chr22","17841289_17841584_AluSz_SINE",76,17841584,5
"86",699204,1,"chr22","17841770_17842090_AluJb_SINE",81,17842090,5
"87",699208,1,"chr22","17843510_17843813_AluSg4_SINE",81,17843813,5
"88",699214,1,"chr22","17848276_17848585_AluSq2_SINE",82,17848585,5
"89",699217,1,"chr22","17855626_17855918_AluSg_SINE",81,17855918,5
"90",699225,1,"chr22","17867831_17868142_AluSx_SINE",81,17868142,5
"91",699226,1,"chr22","17868690_17869002_AluSz_SINE",81,17869002,5
"92",699228,1,"chr22","17869507_17869816_AluSx_SINE",81,17869816,5
"93",699233,1,"chr22","17873766_17874075_AluSp_SINE",80,17874075,5
"94",699236,1,"chr22","17876153_17876451_AluSx1_SINE",82,17876451,5
"95",699237,1,"chr22","17877398_17877686_AluYk4_SINE",82,17877686,5
"96",699240,1,"chr22","17881881_17882175_AluSx1_SINE",82,17882175,5
"97",699242,1,"chr22","17883865_17884135_AluSg_SINE",82,17884135,5
"98",699244,1,"chr22","17886134_17886418_AluSx_SINE",83,17886418,5
"99",699245,1,"chr22","17887209_17887502_AluSx1_SINE",80,17887502,5
"100",699248,1,"chr22","17892737_17893023_AluY_SINE",83,17893023,5
"101",699257,1,"chr22","17915028_17915301_AluSc8_SINE",82,17915301,5
"102",699259,1,"chr22","17921585_17921890_AluSg7_SINE",82,17921890,5
"103",699263,1,"chr22","17927903_17928212_AluSx1_SINE",81,17928212,5
"104",699269,1,"chr22","17940829_17941126_AluSx3_SINE",81,17941126,5
"105",699278,1,"chr22","17949197_17949461_AluSz_SINE",81,17949461,5
"106",699282,1,"chr22","17960872_17961175_AluY_SINE",81,17961175,5
"107",699284,1,"chr22","17961820_17962012_AluY_SINE",83,17962012,5
"108",699288,1,"chr22","17964517_17964817_AluJb_SINE",86,17964817,5
"109",699289,1,"chr22","17966449_17966700_AluY_SINE",84,17966700,5
"110",699291,1,"chr22","17967974_17968264_AluSq2_SINE",71,17968264,5
"111",699295,1,"chr22","17973122_17973383_AluSp_SINE",83,17973383,5
"112",699298,1,"chr22","17975247_17975556_AluY_SINE",85,17975556,5
"113",699300,1,"chr22","17977140_17977437_AluY_SINE",83,17977437,5
"114",699301,1,"chr22","17978009_17978319_AluSx3_SINE",82,17978319,5
"115",699303,1,"chr22","17981553_17981859_AluSx1_SINE",82,17981859,5
"116",699307,1,"chr22","17984559_17984867_AluSx1_SINE",85,17984867,5
"117",699309,1,"chr22","17985673_17985985_AluSx_SINE",83,17985985,5
"118",699310,1,"chr22","17989625_17989936_AluSc8_SINE",86,17989936,5
"119",699314,1,"chr22","17995629_17995931_AluSp_SINE",80,17995931,5
"120",699319,1,"chr22","18002502_18002810_AluY_SINE",82,18002810,5
"121",699323,1,"chr22","18006224_18006529_AluSg4_SINE",81,18006529,5
"122",699334,1,"chr22","18013037_18013332_AluSz_SINE",81,18013332,5
"123",699339,1,"chr22","18017412_18017697_AluSx_SINE",81,18017697,5
