"","X","Region","V1","V2","V3","End","Interval"
"1",619668,1,"chr18","66980_67295_AluSc8_SINE",82,67295,1
"2",619688,1,"chr18","131922_132205_AluSx1_SINE",80,132205,1
"3",619690,1,"chr18","136970_137195_AluSx_SINE",78,137195,1
"4",619698,1,"chr18","148621_148916_AluSz_SINE",80,148916,1
"5",619702,1,"chr18","150565_150882_AluSx1_SINE",97,150882,1
"6",619704,1,"chr18","153408_153693_AluSx1_SINE",78,153693,1
"7",619711,1,"chr18","164451_164753_AluSx1_SINE",81,164753,1
"8",619721,1,"chr18","173107_173410_AluY_SINE",86,173410,1
"9",619729,1,"chr18","192282_192588_AluSq2_SINE",81,192588,1
"10",619730,1,"chr18","194648_194940_AluSz6_SINE",81,194940,1
"11",619731,1,"chr18","196041_196223_AluSg_SINE",84,196223,1
"12",619736,1,"chr18","205491_205790_AluJr_SINE",88,205790,1
"13",619738,1,"chr18","206617_206883_AluSz_SINE",82,206883,1
"14",619741,1,"chr18","212324_212619_AluSz_SINE",81,212619,1
"15",619742,1,"chr18","215966_216247_AluSc_SINE",81,216247,1
"16",619748,1,"chr18","237157_237455_AluSz_SINE",81,237455,1
"17",619749,1,"chr18","237869_238164_AluSz_SINE",79,238164,1
"18",619751,1,"chr18","249384_249680_AluSg_SINE",81,249680,1
"19",619753,1,"chr18","263089_263378_AluY_SINE",81,263378,1
"20",619757,1,"chr18","273255_273554_AluSz6_SINE",81,273554,1
"21",619761,1,"chr18","279618_279902_AluSc5_SINE",82,279902,1
"22",619763,1,"chr18","283013_283319_AluSp_SINE",79,283319,1
"23",619767,1,"chr18","285239_285547_AluSq2_SINE",81,285547,1
"24",619774,1,"chr18","302713_303019_AluSz_SINE",80,303019,1
"25",619780,1,"chr18","315614_315903_AluJb_SINE",81,315903,1
"26",619786,1,"chr18","326345_326648_AluSx1_SINE",82,326648,1
"27",619789,1,"chr18","334350_334649_AluSz_SINE",81,334649,1
"28",619790,1,"chr18","342051_342284_AluSp_SINE",81,342284,1
"29",619792,1,"chr18","350645_350977_AluSz_SINE",81,350977,1
"30",619793,1,"chr18","360174_360490_AluSx1_SINE",81,360490,1
"31",619801,1,"chr18","409258_409541_AluSq2_SINE",81,409541,1
"32",619805,1,"chr18","419214_419504_AluSx_SINE",81,419504,1
"33",619806,1,"chr18","427982_428277_AluSq_SINE",80,428277,1
"34",619808,1,"chr18","430065_430363_AluSz6_SINE",77,430363,1
"35",619810,1,"chr18","433690_433979_AluJb_SINE",81,433979,1
"36",619814,1,"chr18","442680_442986_AluY_SINE",82,442986,1
"37",619816,1,"chr18","451465_451761_AluSg7_SINE",82,451761,1
"38",619820,1,"chr18","467981_468278_AluSg_SINE",81,468278,1
"39",619824,1,"chr18","474791_475096_AluSq2_SINE",82,475096,1
"40",619832,1,"chr18","488575_488901_AluSx_SINE",81,488901,1
"41",619835,1,"chr18","502061_502306_AluSx3_SINE",83,502306,1
"42",619836,1,"chr18","502319_502614_AluSz_SINE",81,502614,1
"43",619837,1,"chr18","503475_503773_AluSg_SINE",81,503773,1
"44",619838,1,"chr18","506805_507063_AluJb_SINE",86,507063,1
"45",619841,1,"chr18","510995_511275_AluSg_SINE",81,511275,1
"46",619842,1,"chr18","513301_513617_AluSx1_SINE",81,513617,1
"47",619845,1,"chr18","521529_521839_AluY_SINE",82,521839,1
"48",619846,1,"chr18","522001_522283_AluSz_SINE",81,522283,1
"49",619856,1,"chr18","547859_548156_AluSx4_SINE",81,548156,2
"50",619860,1,"chr18","558565_558868_AluY_SINE",81,558868,2
"51",619861,1,"chr18","561152_561444_AluSq2_SINE",81,561444,2
"52",619868,1,"chr18","576138_576433_AluSg_SINE",81,576433,2
"53",619869,1,"chr18","578578_578888_AluSx_SINE",81,578888,2
"54",619879,1,"chr18","607443_607727_AluJb_SINE",82,607727,2
"55",619880,1,"chr18","609541_609843_AluSz_SINE",81,609843,2
"56",619883,1,"chr18","619708_620009_AluSx1_SINE",81,620009,2
"57",619884,1,"chr18","623363_623669_AluSz_SINE",81,623669,2
"58",619887,1,"chr18","627813_628126_AluSx_SINE",83,628126,2
"59",619893,1,"chr18","636616_636926_AluSx1_SINE",82,636926,2
"60",619896,1,"chr18","638575_638872_AluSz_SINE",81,638872,2
"61",619897,1,"chr18","639145_639451_AluSx3_SINE",87,639451,2
"62",619899,1,"chr18","642149_642451_AluSz_SINE",82,642451,2
"63",619903,1,"chr18","651631_651918_AluJb_SINE",78,651918,2
"64",619909,1,"chr18","670045_670326_AluSz6_SINE",66,670326,2
"65",619910,1,"chr18","674523_674819_AluSx1_SINE",82,674819,2
"66",619911,1,"chr18","680847_681161_AluSx_SINE",96,681161,2
"67",619912,1,"chr18","683984_684294_AluY_SINE",84,684294,2
"68",619916,1,"chr18","689281_689581_AluSx3_SINE",82,689581,2
"69",619919,1,"chr18","694382_694656_AluSg_SINE",81,694656,2
"70",619922,1,"chr18","698631_698920_AluJb_SINE",82,698920,2
"71",619940,1,"chr18","726499_726811_AluSx_SINE",82,726811,2
"72",619944,1,"chr18","733501_733810_AluY_SINE",82,733810,2
"73",619948,1,"chr18","735531_735737_AluSx_SINE",81,735737,2
"74",619950,1,"chr18","737170_737465_AluSz_SINE",81,737465,2
"75",619952,1,"chr18","738408_738712_AluY_SINE",82,738712,2
"76",619954,1,"chr18","740904_741197_AluSz_SINE",81,741197,2
"77",619962,1,"chr18","752111_752409_AluSz6_SINE",83,752409,2
"78",619966,1,"chr18","759184_759486_AluSq2_SINE",81,759486,2
