"","X","Region","V1","V2","V3","End","Interval"
"1",119690,1,"chr3","78745_79039_AluSx1_SINE",81,79039,1
"2",119700,1,"chr3","213440_213632_AluSc8_SINE",82,213632,1
"3",119702,1,"chr3","218190_218491_AluSc_SINE",81,218491,1
"4",119704,1,"chr3","224292_224598_AluY_SINE",84,224598,1
"5",119709,1,"chr3","260547_260855_AluY_SINE",85,260855,1
"6",119710,1,"chr3","266537_266824_AluSx_SINE",81,266824,1
"7",119711,1,"chr3","267410_267698_AluSc8_SINE",82,267698,1
"8",119712,1,"chr3","267717_268014_AluSz6_SINE",82,268014,1
"9",119718,1,"chr3","299025_299333_AluSx1_SINE",80,299333,1
"10",119721,1,"chr3","311224_311508_AluSq2_SINE",80,311508,1
"11",119723,1,"chr3","328011_328324_AluSx_SINE",81,328324,1
"12",119735,1,"chr3","434673_434930_AluY_SINE",82,434930,1
"13",119738,1,"chr3","475602_475870_AluSx_SINE",81,475870,1
"14",119739,1,"chr3","495833_496131_AluSz_SINE",80,496131,1
"15",119741,1,"chr3","506300_506611_AluSx3_SINE",91,506611,1
"16",119748,1,"chr3","559383_559681_AluSx_SINE",80,559681,1
"17",119749,1,"chr3","561252_561567_AluJb_SINE",79,561567,1
"18",119750,1,"chr3","604131_604451_AluY_SINE",83,604451,2
"19",119751,1,"chr3","608102_608398_AluSc_SINE",81,608398,2
"20",119756,1,"chr3","688996_689289_AluSc_SINE",81,689289,2
"21",119759,1,"chr3","704888_705187_AluSc_SINE",81,705187,2
"22",119778,1,"chr3","907961_908234_AluSc_SINE",81,908234,2
"23",119782,1,"chr3","922497_922806_AluSp_SINE",81,922806,2
"24",119783,1,"chr3","948125_948434_AluSx_SINE",82,948434,2
"25",119785,1,"chr3","955937_956243_AluSx_SINE",81,956243,2
"26",119786,1,"chr3","962242_962551_AluSx3_SINE",82,962551,2
"27",119791,1,"chr3","1068441_1068736_AluSz_SINE",81,1068736,2
"28",119792,1,"chr3","1114227_1114541_AluY_SINE",84,1114541,3
"29",119793,1,"chr3","1130872_1131156_AluJb_SINE",82,1131156,3
"30",119795,1,"chr3","1140854_1141140_AluY_SINE",82,1141140,3
"31",119797,1,"chr3","1144133_1144425_AluY_SINE",80,1144425,3
"32",119798,1,"chr3","1144509_1144816_AluY_SINE",81,1144816,3
"33",119802,1,"chr3","1196114_1196426_AluSp_SINE",80,1196426,3
"34",119819,1,"chr3","1266427_1266731_AluSx_SINE",83,1266731,3
"35",119821,1,"chr3","1278482_1278782_AluY_SINE",83,1278782,3
"36",119830,1,"chr3","1331345_1331656_AluY_SINE",82,1331656,3
"37",119831,1,"chr3","1341668_1341964_AluY_SINE",92,1341964,3
"38",119842,1,"chr3","1451496_1451809_AluSx_SINE",83,1451809,3
"39",119843,1,"chr3","1474251_1474554_AluY_SINE",81,1474554,3
"40",119847,1,"chr3","1512185_1512439_AluSx_SINE",79,1512439,3
"41",119850,1,"chr3","1529449_1529747_AluSx1_SINE",81,1529747,3
"42",119852,1,"chr3","1567758_1568052_AluY_SINE",81,1568052,3
"43",119861,1,"chr3","1666191_1666499_AluY_SINE",83,1666499,4
"44",119862,1,"chr3","1684213_1684513_AluSc8_SINE",82,1684513,4
"45",119873,1,"chr3","1781992_1782293_AluY_SINE",83,1782293,4
"46",119877,1,"chr3","1823458_1823757_AluSz_SINE",80,1823757,4
"47",119878,1,"chr3","1828306_1828617_AluSq2_SINE",81,1828617,4
"48",119881,1,"chr3","1855266_1855582_AluSx3_SINE",88,1855582,4
"49",119887,1,"chr3","1905405_1905713_AluSg4_SINE",82,1905713,4
"50",119894,1,"chr3","1934791_1935095_AluSp_SINE",73,1935095,4
"51",119896,1,"chr3","1937149_1937459_AluSz_SINE",81,1937459,4
"52",119903,1,"chr3","2021180_2021481_AluSx1_SINE",81,2021481,4
"53",119909,1,"chr3","2060659_2060982_AluJb_SINE",104,2060982,4
"54",119919,1,"chr3","2110813_2111104_AluSc_SINE",81,2111104,4
"55",119925,1,"chr3","2162918_2163198_AluSg_SINE",81,2163198,5
"56",119926,1,"chr3","2163583_2163853_AluYc_SINE",84,2163853,5
"57",119927,1,"chr3","2167231_2167539_AluY_SINE",82,2167539,5
"58",119928,1,"chr3","2179738_2180051_AluSx1_SINE",83,2180051,5
"59",119935,1,"chr3","2211097_2211380_AluY_SINE",73,2211380,5
"60",119942,1,"chr3","2257284_2257591_AluSc8_SINE",83,2257591,5
"61",119944,1,"chr3","2266552_2266831_AluY_SINE",82,2266831,5
"62",119946,1,"chr3","2275818_2276075_AluSz_SINE",80,2276075,5
"63",119947,1,"chr3","2302377_2302714_AluSx1_SINE",84,2302714,5
"64",119951,1,"chr3","2318404_2318580_AluSx_SINE",81,2318580,5
"65",119959,1,"chr3","2375857_2376142_AluSz_SINE",82,2376142,5
"66",119964,1,"chr3","2395932_2396225_AluSx1_SINE",81,2396225,5
"67",119965,1,"chr3","2409710_2410015_AluY_SINE",82,2410015,5
"68",119968,1,"chr3","2418560_2418863_AluSc_SINE",81,2418863,5
"69",119971,1,"chr3","2430559_2430854_AluSx_SINE",84,2430854,5
"70",119977,1,"chr3","2453938_2454236_AluSq_SINE",82,2454236,5
"71",119978,1,"chr3","2455230_2455524_AluSz_SINE",81,2455524,5
"72",119979,1,"chr3","2458343_2458637_AluY_SINE",83,2458637,5
"73",119982,1,"chr3","2479921_2480209_AluSx_SINE",81,2480209,5
"74",119986,1,"chr3","2507080_2507393_AluSx_SINE",81,2507393,5
"75",119995,1,"chr3","2599129_2599451_AluY_SINE",84,2599451,5
"76",120001,1,"chr3","2615618_2615932_AluSp_SINE",80,2615932,5
"77",120004,1,"chr3","2626106_2626408_AluSq2_SINE",81,2626408,5
"78",120005,1,"chr3","2630042_2630348_AluSx3_SINE",82,2630348,6
"79",120006,1,"chr3","2631931_2632193_AluSz_SINE",81,2632193,6
"80",120013,1,"chr3","2667938_2668209_AluY_SINE",86,2668209,6
"81",120015,1,"chr3","2671842_2672133_AluSz_SINE",85,2672133,6
"82",120018,1,"chr3","2688782_2689059_AluSq2_SINE",81,2689059,6
"83",120020,1,"chr3","2700865_2701172_AluSz_SINE",81,2701172,6
"84",120023,1,"chr3","2715219_2715525_AluY_SINE",84,2715525,6
"85",120025,1,"chr3","2736144_2736435_AluSz6_SINE",81,2736435,6
"86",120027,1,"chr3","2746796_2747069_AluY_SINE",82,2747069,6
"87",120035,1,"chr3","2778770_2779064_AluSz_SINE",81,2779064,6
"88",120040,1,"chr3","2800201_2800492_AluSz_SINE",81,2800492,6
"89",120042,1,"chr3","2804621_2804927_AluY_SINE",86,2804927,6
"90",120044,1,"chr3","2811699_2812011_AluSg_SINE",81,2812011,6
"91",120051,1,"chr3","2832933_2833229_AluJb_SINE",82,2833229,6
"92",120052,1,"chr3","2837204_2837503_AluY_SINE",82,2837503,6
"93",120056,1,"chr3","2847574_2847884_AluY_SINE",81,2847884,6
"94",120062,1,"chr3","2875541_2875847_AluSc8_SINE",87,2875847,6
"95",120063,1,"chr3","2875966_2876264_AluSz_SINE",82,2876264,6
"96",120073,1,"chr3","2906141_2906439_AluSq_SINE",81,2906439,6
"97",120084,1,"chr3","2956758_2957049_AluSz_SINE",81,2957049,6
"98",120098,1,"chr3","3047571_3047859_AluYc_SINE",85,3047859,6
"99",120106,1,"chr3","3112259_3112564_AluSg_SINE",81,3112564,6
"100",120109,1,"chr3","3116887_3117186_AluJb_SINE",81,3117186,6
"101",120114,1,"chr3","3132238_3132556_AluY_SINE",89,3132556,7
"102",120118,1,"chr3","3144680_3144866_AluSz_SINE",89,3144866,7
"103",120128,1,"chr3","3167632_3167932_AluSq4_SINE",73,3167932,7
"104",120130,1,"chr3","3172482_3172776_AluJb_SINE",81,3172776,7
"105",120132,1,"chr3","3181411_3181712_AluJb_SINE",83,3181712,7
"106",120133,1,"chr3","3182485_3182767_AluY_SINE",82,3182767,7
"107",120134,1,"chr3","3197494_3197779_AluJb_SINE",78,3197779,7
"108",120139,1,"chr3","3235819_3236127_AluSx1_SINE",81,3236127,7
"109",120140,1,"chr3","3247042_3247354_AluSx1_SINE",81,3247354,7
"110",120142,1,"chr3","3255855_3256168_AluJb_SINE",82,3256168,7
"111",120150,1,"chr3","3296126_3296426_AluSz_SINE",81,3296426,7
"112",120154,1,"chr3","3312278_3312533_AluSq4_SINE",81,3312533,7
"113",120155,1,"chr3","3312934_3313234_AluSz_SINE",81,3313234,7
"114",120161,1,"chr3","3369414_3369686_AluSx_SINE",81,3369686,7
"115",120165,1,"chr3","3431190_3431483_AluSx1_SINE",80,3431483,7
"116",120168,1,"chr3","3465123_3465416_AluSx1_SINE",79,3465416,7
"117",120173,1,"chr3","3483806_3484105_AluJb_SINE",81,3484105,7
"118",120174,1,"chr3","3488941_3489239_AluSz_SINE",81,3489239,7
"119",120175,1,"chr3","3492745_3493042_AluJb_SINE",82,3493042,7
"120",120176,1,"chr3","3498816_3499111_AluSc_SINE",82,3499111,7
"121",120179,1,"chr3","3525946_3526177_AluJb_SINE",81,3526177,7
"122",120181,1,"chr3","3556378_3556680_AluSq_SINE",81,3556680,7
"123",120185,1,"chr3","3586587_3586926_AluY_SINE",81,3586926,7
"124",120186,1,"chr3","3607627_3607937_AluY_SINE",82,3607937,7
"125",120199,1,"chr3","3724630_3724926_AluSc8_SINE",81,3724926,8
"126",120201,1,"chr3","3739424_3739734_AluJo_SINE",82,3739734,8
"127",120203,1,"chr3","3740795_3741098_AluSx4_SINE",81,3741098,8
"128",120207,1,"chr3","3791032_3791342_AluSx_SINE",81,3791342,8
"129",120208,1,"chr3","3799159_3799449_AluSc5_SINE",81,3799449,8
"130",120209,1,"chr3","3815075_3815285_AluY_SINE",81,3815285,8
"131",120215,1,"chr3","3883198_3883501_AluSg_SINE",81,3883501,8
"132",120223,1,"chr3","3994635_3994927_AluSx1_SINE",82,3994927,8
"133",120231,1,"chr3","4098422_4098729_AluY_SINE",87,4098729,8
"134",120232,1,"chr3","4112312_4112614_AluY_SINE",78,4112614,8
"135",120234,1,"chr3","4118401_4118706_AluY_SINE",87,4118706,8
"136",120235,1,"chr3","4123871_4124161_AluJb_SINE",82,4124161,8
"137",120238,1,"chr3","4138953_4139262_AluSx1_SINE",81,4139262,9
"138",120243,1,"chr3","4186601_4186897_AluY_SINE",82,4186897,9
"139",120244,1,"chr3","4191963_4192246_AluSx1_SINE",81,4192246,9
"140",120252,1,"chr3","4267944_4268251_AluSc_SINE",81,4268251,9
