"","X","Region","V1","V2","V3","End","Interval"
"1",349442,1,"chr9","150116_150425_AluY_SINE",82,150425,1
"2",349457,1,"chr9","213731_214025_AluSc_SINE",80,214025,1
"3",349458,1,"chr9","219188_219497_AluSx_SINE",82,219497,1
"4",349463,1,"chr9","243903_244209_AluY_SINE",86,244209,1
"5",349469,1,"chr9","252520_252810_AluSx3_SINE",82,252810,1
"6",349471,1,"chr9","257511_257816_AluSc_SINE",80,257816,1
"7",349473,1,"chr9","262924_263224_AluSx1_SINE",81,263224,1
"8",349474,1,"chr9","264926_265231_AluSq10_SINE",81,265231,1
"9",349477,1,"chr9","273680_274005_AluSp_SINE",80,274005,1
"10",349488,1,"chr9","299739_300035_AluY_SINE",83,300035,1
"11",349490,1,"chr9","308661_308956_AluSc8_SINE",82,308956,1
"12",349493,1,"chr9","323218_323520_AluSg_SINE",80,323520,1
"13",349502,1,"chr9","342461_342763_AluSg4_SINE",81,342763,1
"14",349508,1,"chr9","355192_355501_AluSc5_SINE",81,355501,1
"15",349509,1,"chr9","356246_356552_AluY_SINE",84,356552,1
"16",349511,1,"chr9","360033_360345_AluSz_SINE",81,360345,1
"17",349525,1,"chr9","402894_403188_AluSz_SINE",81,403188,1
"18",349531,1,"chr9","418263_418567_AluSx_SINE",85,418567,1
"19",349532,1,"chr9","422713_423006_AluSx1_SINE",81,423006,1
"20",349533,1,"chr9","424399_424709_AluJb_SINE",81,424709,1
"21",349542,1,"chr9","451031_451337_AluSx1_SINE",80,451337,1
"22",349558,1,"chr9","493554_493846_AluSx_SINE",80,493846,1
"23",349559,1,"chr9","493886_494179_AluSg_SINE",81,494179,1
"24",349564,1,"chr9","507556_507850_AluSc_SINE",82,507850,1
"25",349577,1,"chr9","527282_527599_AluSq2_SINE",80,527599,1
"26",349587,1,"chr9","564054_564361_AluY_SINE",84,564361,2
"27",349589,1,"chr9","572324_572563_AluY_SINE",84,572563,2
"28",349590,1,"chr9","573282_573569_AluY_SINE",83,573569,2
"29",349593,1,"chr9","591669_591958_AluSx1_SINE",81,591958,2
"30",349598,1,"chr9","603672_603982_AluSx_SINE",80,603982,2
"31",349602,1,"chr9","607208_607507_AluSz_SINE",80,607507,2
"32",349604,1,"chr9","611727_612017_AluSc8_SINE",82,612017,2
"33",349605,1,"chr9","618209_618507_AluSz_SINE",81,618507,2
"34",349607,1,"chr9","620405_620692_AluSx1_SINE",85,620692,2
"35",349613,1,"chr9","630273_630544_AluY_SINE",83,630544,2
"36",349618,1,"chr9","639315_639616_AluSz_SINE",81,639616,2
"37",349621,1,"chr9","643693_644002_AluSx1_SINE",81,644002,2
"38",349622,1,"chr9","644841_645149_AluSx_SINE",84,645149,2
"39",349626,1,"chr9","647999_648301_AluSc_SINE",81,648301,2
